,source,target,value
672,bitbucket-linter,lazy-object-proxy,4466.0
673,bitbucket-linter,future,4466.0
674,bitbucket-linter,colorama,4466.0
675,bitbucket-linter,astroid,4466.0
676,bitmerchant,cachetools,652.0
677,bitmerchant,six,652.0
678,bitmerchant,ecdsa,652.0
679,bitmerchant,base58,652.0
680,bitpeer.py,pycoin,2184.0
681,bitpeer.py,ecdsa,2184.0
682,bladerunner,six,1836.0
683,bladerunner,pexpect,1836.0
684,blahblah,exrex,1096.0
685,blahblah,district42,1096.0
686,blobxfer,requests,1425.0
687,blobxfer,cryptography,1425.0
688,blobxfer,azure-servicemanagement-legacy,1425.0
689,blobxfer,azure-storage,1425.0
690,blobxfer,azure-common,1425.0
