,source,target,value
918,c2cgeoportal,Paste,3677.0
919,c2cgeoportal,OWSLib,3677.0
920,c2cgeoportal,GeoFormAlchemy2,3677.0
921,c2cgeoportal,GeoAlchemy2,3677.0
922,c2cgeoportal,FormAlchemy,3677.0
923,c2c.template,six,2816.0
924,c2c.template,PyYAML,2816.0
925,c2c.template,Mako,2816.0
926,c2c.template,Jinja2,2816.0
927,c2c.template,bottle,2816.0
928,cache_requests,six,1701.0
929,cache_requests,requests,1701.0
930,cache_requests,redislite,1701.0
931,Cactus,macfsevents;,1560.0
932,Cactus,google-api-python-client;,1560.0
933,Cactus,pyrax;,1560.0
934,Cactus,tornado,1560.0
935,Cactus,six,1560.0
936,Cactus,markdown2,1560.0
937,Cactus,keyring,1560.0
938,Cactus,django-markwhat,1560.0
939,Cactus,colorlog,1560.0
940,Cactus,colorama,1560.0
941,Cactus,boto,1560.0
942,Cactus,argparse,1560.0
943,Cactus,Django,1560.0
944,caf,click,277.0
945,calmap,pandas,1108.0
946,calmap,numpy,1108.0
947,calmap,matplotlib,1108.0
948,calysto_bash,metakernel,198.0
949,calysto_lc3,metakernel,371.0
950,camel,pyyaml,155.0
951,cameo,palettable,1027.0
952,cameo,lazy-object-proxy,1027.0
953,cameo,inspyred,1027.0
954,cameo,IProgress,1027.0
955,cameo,escher,1027.0
956,cameo,six,1027.0
957,cameo,networkx,1027.0
958,cameo,numexpr,1027.0
959,cameo,requests,1027.0
960,cameo,optlang,1027.0
961,cameo,cobra,1027.0
962,cameo,ordered-set,1027.0
963,cameo,pandas,1027.0
964,cameo,blessings,1027.0
965,cameo,scipy,1027.0
966,cameo,numpy,1027.0
967,caniusepython3,futures,2280.0
968,caniusepython3,argparse,2280.0
969,caniusepython3,pip,2280.0
970,caniusepython3,setuptools,2280.0
971,caniusepython3,distlib,2280.0
972,cantal_tools,cantal,0.0
973,cantools,pyparsing,433.0
974,cantools,bitstruct,433.0
975,carafe,Flask,2508.0
976,carafe,Flask-Cache,2508.0
977,carafe,Flask-Principal,2508.0
978,carafe,Flask-Testing,2508.0
979,carafe,blinker,2508.0
980,caravan,pylama;,1303.0
981,caravan,zest.releaser[recommended];,1303.0
982,caravan,moto;,1303.0
983,caravan,httpretty,1303.0
984,caravan,abduct;,1303.0
985,caravan,freezegun;,1303.0
986,caravan,mock;,1303.0
987,caravan,yanc,1303.0
988,caravan,coverage;,1303.0
989,caravan,nosexcover;,1303.0
990,caravan,nose;,1303.0
991,caravan,inflection,1303.0
992,caravan,tabulate,1303.0
993,caravan,six,1303.0
994,caravan,arrow,1303.0
995,caravan,boto3,1303.0
996,cartridge-braintree,pyuca;,1412.0
997,cartridge-braintree,cartridge,1412.0
998,cartridge-braintree,braintree,1412.0
999,caslib.py,requests,446.0
1000,castellan,oslo.utils,55327.0
1001,castellan,oslo.serialization,55327.0
1002,castellan,oslo.policy,55327.0
1003,castellan,oslo.log,55327.0
1004,castellan,oslo.context,55327.0
1005,castellan,oslo.config,55327.0
1006,castellan,cryptography,55327.0
1007,castellan,Babel,55327.0
1008,castellan,pbr,55327.0
1009,caterpillar,mock;,1754.0
1010,caterpillar,pep8;,1754.0
1011,caterpillar,coverage;,1754.0
1012,caterpillar,pytest;,1754.0
1013,caterpillar,tox;,1754.0
1014,caterpillar,ujson,1754.0
1015,caterpillar,regex,1754.0
1016,caterpillar,numpy,1754.0
1017,caterpillar,nltk,1754.0
1018,caterpillar,lrparsing,1754.0
1019,caterpillar,apsw,1754.0
1020,causalinfo,pathlib,161.0
1021,causalinfo,pandas,161.0
1022,causalinfo,networkx,161.0
1023,Cavatina,music21,336.0
1024,ccsgp_get_started,numpy,887.0
1025,ccsgp_get_started,Pint,887.0
1026,ccsgp_get_started,uncertainties,887.0
1027,cdeploy,cassandra-driver,1072.0
1028,cdeploy,PyYAML,1072.0
1029,cdeploy,cassandra-driver,1072.0
1030,cdeploy,PyYAML,1072.0
1031,cdeploy,cassandra-driver,1072.0
1032,cdeploy,PyYAML,1072.0
1033,cdeploy,cassandra-driver,1072.0
1034,cdeploy,PyYAML,1072.0
1035,cdeploy,cassandra-driver,1072.0
1036,cdeploy,PyYAML,1072.0
1037,cdeploy,cassandra-driver,1072.0
1038,cdeploy,PyYAML,1072.0
1039,cdeploy,cassandra-driver,1072.0
1040,cdeploy,PyYAML,1072.0
1041,cecs,requests,374.0
1042,cecs,markdown,374.0
1043,cecs,json,374.0
1044,cecs,colorama,374.0
1045,ceilometermiddleware,Babel,1417.0
1046,ceilometermiddleware,six,1417.0
1047,ceilometermiddleware,pycadf,1417.0
1048,ceilometermiddleware,pbr,1417.0
1049,ceilometermiddleware,oslo.utils,1417.0
1050,ceilometermiddleware,oslo.messaging,1417.0
1051,ceilometermiddleware,oslo.context,1417.0
1052,ceilometermiddleware,oslo.config,1417.0
1053,ceilometer-powervm,setuptools,586.0
1054,ceilometer-powervm,pbr,586.0
1055,ceilometer-powervm,oslo.log,586.0
1056,celery-sprout,celery,201.0
1057,cellulist,numpy,280.0
1058,cernservicexml,requests,636.0
1059,cernservicexml,sphinx-rtd-theme;,636.0
1060,cerridwen,flask;,1098.0
1061,certbuilder,oscrypto,1265.0
1062,certbuilder,asn1crypto,1265.0
1063,certify,pyopenssl,825.0
1064,certify,requests,825.0
1065,certify,click,825.0
1066,cffi_magic,cffi,195.0
1067,cfmeta,netCDF4;,239.0
1068,cfnparams,retrying,1108.0
1069,cfnparams,boto,1108.0
1070,changes,PyYAML,778.0
1071,changes,plumbum,778.0
1072,changes,click,778.0
1073,changes,giturlparse.py,778.0
1074,changes,future,778.0
1075,changes,path.py,778.0
1076,changes,python-magic,778.0
1077,changes,requests,778.0
1078,changes,semantic-version,778.0
1079,changes,uritemplate,778.0
1080,changes,twine,778.0
1081,changes,wheel,778.0
1082,check_bacula,MySQL-python,137.0
1083,check_filemaker,requests,149.0
1084,check_filemaker,PyFileMaker,149.0
1085,check-manifest,mock;,15758.0
1086,chellow,pympler,820.0
1087,chellow,requests,820.0
1088,chellow,ftputil,820.0
1089,chellow,xlrd,820.0
1090,chellow,pytz,820.0
1091,chellow,python-dateutil,820.0
1092,chellow,pg8000,820.0
1093,chellow,SQLAlchemy,820.0
1094,chellow,Flask-SQLAlchemy,820.0
1095,chellow,Flask,820.0
1096,chellow,Jinja2,820.0
1097,chide,testfixtures;,960.0
1098,chide,sqlalchemy;,960.0
1099,chide,nose-fixes;,960.0
1100,chide,nose-cov;,960.0
1101,chide,nose;,960.0
1102,chide,mock;,960.0
1103,chide,manuel;,960.0
1104,chide,jinja2;,960.0
1105,chide,coveralls;,960.0
1106,chide,wheel;,960.0
1107,chide,twine;,960.0
1108,chide,sphinx;,960.0
1109,chide,setuptools-git;,960.0
1110,chide,pkginfo;,960.0
1111,chromosomer,bioformats,526.0
1112,chromosomer,future,526.0
1113,chromosomer,pyfaidx,526.0
1114,chut,ConfigObject,2362.0
1115,chut,docopt,2362.0
1116,chut,pathlib,2362.0
1117,chut,six,2362.0
1118,ciabatta,brewer2mpl,783.0
1119,ciabatta,matplotlib,783.0
1120,ciabatta,numpy,783.0
1121,cifparser,pyparsing,263.0
1122,civicjson,requests,324.0
1123,civicjson,jsonschema,324.0
1124,ckanny,pkutils,781.0
1125,ckanny,ckanutils,781.0
1126,ckanny,tabutils,781.0
1127,ckanny,xattr,781.0
1128,ckanny,manage.py,781.0
1129,ckanutils,tabutils,1121.0
1130,ckanutils,xattr,1121.0
1131,ckanutils,xlrd,1121.0
1132,ckanutils,unicodecsv,1121.0
1133,ckanutils,requests,1121.0
1134,ckanutils,python-dateutil,1121.0
1135,ckanutils,python-slugify,1121.0
1136,ckanutils,manage.py,1121.0
1137,ckanutils,chardet,1121.0
1138,ckanutils,ckanapi,1121.0
1139,ckuehl_pre_commit_types,virtualenv,616.0
1140,ckuehl_pre_commit_types,pyyaml,616.0
1141,ckuehl_pre_commit_types,ordereddict,616.0
1142,ckuehl_pre_commit_types,nodeenv,616.0
1143,ckuehl_pre_commit_types,jsonschema,616.0
1144,ckuehl_pre_commit_types,cached-property,616.0
1145,ckuehl_pre_commit_types,aspy.yaml,616.0
1146,ckuehl_pre_commit_types,argparse,616.0
1147,clarifai,six,908.0
1148,CLASHChimeras,alabaster,273.0
1149,CLASHChimeras,ansicolors,273.0
1150,CLASHChimeras,beautifulsoup4,273.0
1151,CLASHChimeras,biopython,273.0
1152,CLASHChimeras,coloredlogs,273.0
1153,CLASHChimeras,ftputil,273.0
1154,CLASHChimeras,pandas,273.0
1155,CLASHChimeras,progress,273.0
1156,CLASHChimeras,pyfaidx,273.0
1157,CLASHChimeras,requests,273.0
1158,CLASHChimeras,sphinx-argparse,273.0
1159,CLASHChimeras,tabulate,273.0
1160,CLAUDE-tools,boto,2343.0
1161,CLAUDE-tools,netifaces,2343.0
1162,CLAUDE-tools,kombu,2343.0
1163,clean-directories,scandir,501.0
1164,clean-directories,clize,501.0
1165,click-shell,pytest-cov,638.0
1166,click-shell,pytest,638.0
1167,click-shell,pylint,638.0
1168,click-shell,pep8;,638.0
1169,click-shell,coveralls;,638.0
1170,click-shell,readline,638.0
1171,click-shell,click,638.0
1172,cliff,PyYAML,214493.0
1173,cliff,unicodecsv,214493.0
1174,cliff,stevedore,214493.0
1175,cliff,six,214493.0
1176,cliff,pyparsing,214493.0
1177,cliff,PrettyTable,214493.0
1178,cliff,cmd2,214493.0
1179,cliff,pbr,214493.0
1180,cligj,pytest-cov;,9458.0
1181,cligj,click,9458.0
1182,cliquet,zope.sqlalchemy;,7450.0
1183,cliquet,psycopg2,7450.0
1184,cliquet,SQLAlchemy;,7450.0
1185,cliquet,werkzeug;,7450.0
1186,cliquet,statsd;,7450.0
1187,cliquet,raven;,7450.0
1188,cliquet,newrelic;,7450.0
1189,cliquet,ujson,7450.0
1190,cliquet,structlog,7450.0
1191,cliquet,six,7450.0
1192,cliquet,requests,7450.0
1193,cliquet,redis,7450.0
1194,cliquet,python-dateutil,7450.0
1195,cliquet,pyramid-tm,7450.0
1196,cliquet,pyramid-multiauth,7450.0
1197,cliquet,enum34,7450.0
1198,cliquet,cornice,7450.0
1199,cliquet,colorama,7450.0
1200,cliquet,colander,7450.0
1201,cliquet-fxa,pyfxa,712.0
1202,cliquet-fxa,cliquet,712.0
1203,clize,six,1439.0
1204,clize,sigtools,1439.0
1205,clize,ordereddict;,1439.0
1206,clize,python-dateutil;,1439.0
1207,cloudant,requests,7712.0
1208,cloudant,requests,7712.0
1209,cloudbase-init,tzlocal;,318.0
1210,cloudbase-init,wmi;,318.0
1211,cloudbase-init,comtypes;,318.0
1212,cloudbase-init,pywin32;,318.0
1213,cloudbase-init,requests,318.0
1214,cloudbase-init,PyYAML,318.0
1215,cloudbase-init,netifaces,318.0
1216,cloudbase-init,oauthlib,318.0
1217,cloudbase-init,Babel,318.0
1218,cloudbase-init,six,318.0
1219,cloudbase-init,oslo.log,318.0
1220,cloudbase-init,oslo.config,318.0
1221,cloudbase-init,pyserial,318.0
1222,cloudbase-init,netaddr,318.0
1223,cloudbase-init,eventlet,318.0
1224,cloudbase-init,iso8601,318.0
1225,cloudbase-init,pbr,318.0
1226,cloudkitty,tooz,726.0
1227,cloudkitty,stevedore,726.0
1228,cloudkitty,six,726.0
1229,cloudkitty,python-keystoneclient,726.0
1230,cloudkitty,python-ceilometerclient,726.0
1231,cloudkitty,pecan,726.0
1232,cloudkitty,pbr,726.0
1233,cloudkitty,oslo.utils,726.0
1234,cloudkitty,oslo.policy,726.0
1235,cloudkitty,oslo.middleware,726.0
1236,cloudkitty,oslo.messaging,726.0
1237,cloudkitty,oslo.log,726.0
1238,cloudkitty,oslo.i18n,726.0
1239,cloudkitty,oslo.db,726.0
1240,cloudkitty,oslo.context,726.0
1241,cloudkitty,oslo.config,726.0
1242,cloudkitty,oslo.concurrency,726.0
1243,cloudkitty,keystonemiddleware,726.0
1244,cloudkitty,keystoneauth1,726.0
1245,cloudkitty,iso8601,726.0
1246,cloudkitty,gnocchiclient,726.0
1247,cloudkitty,eventlet,726.0
1248,cloudkitty,WSME,726.0
1249,cloudkitty,SQLAlchemy,726.0
1250,cloudkitty,PasteDeploy,726.0
1251,cloudkitty-dashboard,pbr,709.0
1252,cloudkitty-dashboard,Babel,709.0
1253,cloudpulse,python-novaclient,1366.0
1254,cloudpulse,python-neutronclient,1366.0
1255,cloudpulse,python-glanceclient,1366.0
1256,cloudpulse,python-cinderclient,1366.0
1257,cloudpulse,pecan,1366.0
1258,cloudpulse,pbr,1366.0
1259,cloudpulse,paramiko,1366.0
1260,cloudpulse,oslo.versionedobjects,1366.0
1261,cloudpulse,oslo.messaging,1366.0
1262,cloudpulse,oslo.db,1366.0
1263,cloudpulse,oslo.config,1366.0
1264,cloudpulse,oslo.concurrency,1366.0
1265,cloudpulse,keystonemiddleware,1366.0
1266,cloudpulse,eventlet,1366.0
1267,cloudpulse,ansible,1366.0
1268,cloudpulse,WSME,1366.0
1269,cloudpulse,MySQL-python,1366.0
1270,cloudsight,requests,1462.0
1271,clusterclienttest,requests-oauthlib,258.0
1272,clusterclienttest,oauthlib,258.0
1273,clusterclienttest,clusterlogger,258.0
1274,clustercron,boto,2200.0
1275,clustercron,requests,2200.0
1276,clustrous,scipy,392.0
1277,clustrous,numpy,392.0
1278,CMRESHandler,coverage;,179.0
1279,CMRESHandler,pylint;,179.0
1280,CMRESHandler,six;,179.0
1281,CMRESHandler,check-manifest;,179.0
1282,CMRESHandler,requests-kerberos,179.0
1283,CMRESHandler,enum,179.0
1284,CMRESHandler,requests,179.0
1285,CMRESHandler,elasticsearch,179.0
1286,cm_tools,boto,242.0
1287,cm_tools,bioblend,242.0
1288,cm_tools,docopt,242.0
1289,CNFgen,pyparsing,2041.0
1290,CNFgen,networkx,2041.0
1291,co2mpas,xlsxwriter,3611.0
1292,co2mpas,tqdm,3611.0
1293,co2mpas,sphinx,3611.0
1294,co2mpas,six,3611.0
1295,co2mpas,scipy,3611.0
1296,co2mpas,scikit-learn,3611.0
1297,co2mpas,schema,3611.0
1298,co2mpas,regex,3611.0
1299,co2mpas,pyyaml,3611.0
1300,co2mpas,pip,3611.0
1301,co2mpas,pandas,3611.0
1302,co2mpas,pandalone,3611.0
1303,co2mpas,numpy,3611.0
1304,co2mpas,networkx,3611.0
1305,co2mpas,mpld3,3611.0
1306,co2mpas,matplotlib,3611.0
1307,co2mpas,lmfit,3611.0
1308,co2mpas,graphviz,3611.0
1309,co2mpas,easygui,3611.0
1310,co2mpas,docopt,3611.0
1311,co2mpas,dill,3611.0
1312,co2mpas,cycler,3611.0
1313,co2mpas,boltons,3611.0
1314,coala,validators,69949.0
1315,coala,setuptools,69949.0
1316,coala,libclang-py3,69949.0
1317,coala,appdirs,69949.0
1318,coala,PyPrint,69949.0
1319,coala-bears,yamllint,25432.0
1320,coala-bears,vim-vint,25432.0
1321,coala-bears,setuptools,25432.0
1322,coala-bears,restructuredtext-lint,25432.0
1323,coala-bears,requests-mock,25432.0
1324,coala-bears,requests,25432.0
1325,coala-bears,radon,25432.0
1326,coala-bears,pylint,25432.0
1327,coala-bears,pydocstyle,25432.0
1328,coala-bears,proselint,25432.0
1329,coala-bears,nltk,25432.0
1330,coala-bears,munkres3,25432.0
1331,coala-bears,libclang-py3,25432.0
1332,coala-bears,language-check,25432.0
1333,coala-bears,isort,25432.0
1334,coala-bears,html-linter,25432.0
1335,coala-bears,guess-language-spirit,25432.0
1336,coala-bears,eradicate,25432.0
1337,coala-bears,cpplint,25432.0
1338,coala-bears,cppclean,25432.0
1339,coala-bears,coala,25432.0
1340,coala-bears,cmakelint,25432.0
1341,coala-bears,autopep8,25432.0
1342,coala-bears,autoflake,25432.0
1343,coconut,pyparsing,2060.0
1344,codeforlife-portal,django-reversion,2685.0
1345,codeforlife-portal,Pillow,2685.0
1346,codeforlife-portal,django-online-status,2685.0
1347,codeforlife-portal,djangocms-video,2685.0
1348,codeforlife-portal,djangocms-teaser,2685.0
1349,codeforlife-portal,djangocms-picture,2685.0
1350,codeforlife-portal,djangocms-inherit,2685.0
1351,codeforlife-portal,djangocms-googlemap,2685.0
1352,codeforlife-portal,djangocms-flash,2685.0
1353,codeforlife-portal,djangocms-file,2685.0
1354,codeforlife-portal,djangocms-table,2685.0
1355,codeforlife-portal,djangocms-oembed,2685.0
1356,codeforlife-portal,djangocms-grid,2685.0
1357,codeforlife-portal,djangocms-column,2685.0
1358,codeforlife-portal,djangocms-style,2685.0
1359,codeforlife-portal,djangocms-snippet,2685.0
1360,codeforlife-portal,djangocms-link,2685.0
1361,codeforlife-portal,djangocms-text-ckeditor,2685.0
1362,codeforlife-portal,djangocms-admin-style,2685.0
1363,codeforlife-portal,django-sekizai,2685.0
1364,codeforlife-portal,django-treebeard,2685.0
1365,codeforlife-portal,django-classy-tags,2685.0
1366,codeforlife-portal,django-cms,2685.0
1367,codeforlife-portal,requests,2685.0
1368,codeforlife-portal,urllib3,2685.0
1369,codeforlife-portal,django-two-factor-auth,2685.0
1370,codeforlife-portal,django-formtools,2685.0
1371,codeforlife-portal,postcodes,2685.0
1372,codeforlife-portal,reportlab,2685.0
1373,codeforlife-portal,django-recaptcha-field,2685.0
1374,codeforlife-portal,docutils,2685.0
1375,codeforlife-portal,six,2685.0
1376,codeforlife-portal,rapid-router,2685.0
1377,codeforlife-portal,pyyaml,2685.0
1378,codeforlife-portal,django-autoconfig,2685.0
1379,codeforlife-portal,django-jquery,2685.0
1380,codeforlife-portal,djangorestframework,2685.0
1381,codeforlife-portal,django-countries,2685.0
1382,codeforlife-portal,django-appconf,2685.0
1383,codeforlife-portal,django,2685.0
1384,CodeIntel,zope.cachedescriptors,1773.0
1385,CodeIntel,subprocess32,1773.0
1386,CodeIntel,six,1773.0
1387,CodeIntel,inflector,1773.0
1388,coil,webassets,1835.0
1389,coil,rq,1835.0
1390,coil,requests,1835.0
1391,coil,redis,1835.0
1392,coil,python-bcrypt,1835.0
1393,coil,py-bcrypt,1835.0
1394,coil,passlib,1835.0
1395,coil,docopt,1835.0
1396,coil,WTForms,1835.0
1397,coil,Nikola,1835.0
1398,coil,Logbook,1835.0
1399,coil,Flask-WTF,1835.0
1400,coil,Flask-Login,1835.0
1401,coil,Flask-Bcrypt,1835.0
1402,coil,Flask,1835.0
1403,colander,coverage;,24719.0
1404,colander,nose;,24719.0
1405,colander,pylons-sphinx-themes;,24719.0
1406,colander,docutils;,24719.0
1407,colander,Sphinx,24719.0
1408,colander,iso8601,24719.0
1409,colander,translationstring,24719.0
1410,collective.contentalerts,transaction;,1930.0
1411,collective.contentalerts,plone.testing;,1930.0
1412,collective.contentalerts,plone.registry;,1930.0
1413,collective.contentalerts,plone.browserlayer;,1930.0
1414,collective.contentalerts,plone.app.testing;,1930.0
1415,collective.contentalerts,plone.app.discussion;,1930.0
1416,collective.contentalerts,plone.app.contenttypes[test],1930.0
1417,collective.contentalerts,Products.statusmessages;,1930.0
1418,collective.contentalerts,Products.MailHost;,1930.0
1419,collective.contentalerts,Products.CMFPlone;,1930.0
1420,collective.contentalerts,Acquisition;,1930.0
1421,collective.contentalerts,collective.taskqueue;,1930.0
1422,collective.contentalerts,zope.schema,1930.0
1423,collective.contentalerts,zope.publisher,1930.0
1424,collective.contentalerts,zope.interface,1930.0
1425,collective.contentalerts,zope.i18nmessageid,1930.0
1426,collective.contentalerts,zope.formlib,1930.0
1427,collective.contentalerts,zope.component,1930.0
1428,collective.contentalerts,setuptools,1930.0
1429,collective.contentalerts,plone.stringinterp,1930.0
1430,collective.contentalerts,plone.contentrules,1930.0
1431,collective.contentalerts,plone.app.registry,1930.0
1432,collective.contentalerts,plone.app.contentrules,1930.0
1433,collective.contentalerts,plone.api,1930.0
1434,collective.contentalerts,Zope2,1930.0
1435,collective.contentalerts,Products.GenericSetup,1930.0
1436,collective.disqus,unittest2;,537.0
1437,collective.disqus,plone.browserlayer;,537.0
1438,collective.disqus,plone.app.testing;,537.0
1439,collective.disqus,AccessControl;,537.0
1440,collective.disqus,zope.schema,537.0
1441,collective.disqus,zope.interface,537.0
1442,collective.disqus,zope.i18nmessageid,537.0
1443,collective.disqus,zope.component,537.0
1444,collective.disqus,setuptools,537.0
1445,collective.disqus,plone.registry,537.0
1446,collective.disqus,plone.portlets,537.0
1447,collective.disqus,plone.memoize,537.0
1448,collective.disqus,plone.app.registry,537.0
1449,collective.disqus,plone.app.layout,537.0
1450,collective.disqus,plone.app.discussion,537.0
1451,collective.disqus,plone.api,537.0
1452,collective.disqus,disqus-python,537.0
1453,collective.disqus,collective.prettydate,537.0
1454,collective.disqus,Products.GenericSetup,537.0
1455,collective.disqus,Products.CMFPlone,537.0
1456,collective.disqus,Products.CMFCore,537.0
1457,collective.googlenews,zope.component;,727.0
1458,collective.googlenews,plone.registry;,727.0
1459,collective.googlenews,plone.browserlayer;,727.0
1460,collective.googlenews,plone.app.testing[robot];,727.0
1461,collective.googlenews,plone.app.robotframework;,727.0
1462,collective.googlenews,AccessControl;,727.0
1463,collective.googlenews,zope.schema,727.0
1464,collective.googlenews,zope.interface,727.0
1465,collective.googlenews,zope.i18nmessageid,727.0
1466,collective.googlenews,setuptools,727.0
1467,collective.googlenews,plone.supermodel,727.0
1468,collective.googlenews,plone.namedfile,727.0
1469,collective.googlenews,plone.formwidget.namedfile,727.0
1470,collective.googlenews,plone.directives.form,727.0
1471,collective.googlenews,plone.dexterity,727.0
1472,collective.googlenews,plone.behavior,727.0
1473,collective.googlenews,plone.app.registry,727.0
1474,collective.googlenews,plone.app.layout,727.0
1475,collective.googlenews,plone.app.dexterity,727.0
1476,collective.googlenews,plone.api,727.0
1477,collective.googlenews,collective.monkeypatcher,727.0
1478,collective.googlenews,Products.GenericSetup,727.0
1479,collective.googlenews,Products.CMFPlone,727.0
1480,collective.googlenews,Products.CMFCore,727.0
1481,collective.nitf,zope.intid;,1192.0
1482,collective.nitf,z3c.relationfield;,1192.0
1483,collective.nitf,robotsuite;,1192.0
1484,collective.nitf,plone.testing;,1192.0
1485,collective.nitf,plone.namedfile;,1192.0
1486,collective.nitf,plone.browserlayer;,1192.0
1487,collective.nitf,plone.app.testing[robot],1192.0
1488,collective.nitf,plone.app.robotframework;,1192.0
1489,collective.nitf,plone.app.customerize;,1192.0
1490,collective.nitf,mock;,1192.0
1491,collective.nitf,collective.cover;,1192.0
1492,collective.nitf,zope.schema,1192.0
1493,collective.nitf,zope.interface,1192.0
1494,collective.nitf,zope.i18nmessageid,1192.0
1495,collective.nitf,zope.formlib,1192.0
1496,collective.nitf,zope.component,1192.0
1497,collective.nitf,zope.browserpage,1192.0
1498,collective.nitf,setuptools,1192.0
1499,collective.nitf,plone.uuid,1192.0
1500,collective.nitf,plone.supermodel,1192.0
1501,collective.nitf,plone.registry,1192.0
1502,collective.nitf,plone.portlets,1192.0
1503,collective.nitf,plone.indexer,1192.0
1504,collective.nitf,plone.formwidget.contenttree,1192.0
1505,collective.nitf,plone.formwidget.autocomplete,1192.0
1506,collective.nitf,plone.directives.form,1192.0
1507,collective.nitf,plone.dexterity,1192.0
1508,collective.nitf,plone.behavior,1192.0
1509,collective.nitf,plone.app.vocabularies,1192.0
1510,collective.nitf,plone.app.upgrade,1192.0
1511,collective.nitf,plone.app.textfield,1192.0
1512,collective.nitf,plone.app.relationfield,1192.0
1513,collective.nitf,plone.app.registry,1192.0
1514,collective.nitf,plone.app.referenceablebehavior,1192.0
1515,collective.nitf,plone.app.querystring,1192.0
1516,collective.nitf,plone.app.portlets,1192.0
1517,collective.nitf,plone.app.lockingbehavior,1192.0
1518,collective.nitf,plone.app.layout,1192.0
1519,collective.nitf,plone.app.imaging,1192.0
1520,collective.nitf,plone.app.dexterity[relations],1192.0
1521,collective.nitf,plone.app.contentmenu,1192.0
1522,collective.nitf,plone.api,1192.0
1523,collective.nitf,collective.prettydate,1192.0
1524,collective.nitf,collective.js.jqueryui,1192.0
1525,collective.nitf,collective.js.cycle2,1192.0
1526,collective.nitf,Products.GenericSetup,1192.0
1527,collective.nitf,Products.CMFQuickInstallerTool,1192.0
1528,collective.nitf,Products.CMFPlone,1192.0
1529,collective.nitf,Acquisition,1192.0
1530,collective.nitf,AccessControl,1192.0
1531,collective.nitf,zope.intid;,1192.0
1532,collective.nitf,z3c.relationfield;,1192.0
1533,collective.nitf,robotsuite;,1192.0
1534,collective.nitf,plone.testing;,1192.0
1535,collective.nitf,plone.namedfile;,1192.0
1536,collective.nitf,plone.browserlayer;,1192.0
1537,collective.nitf,plone.app.testing[robot],1192.0
1538,collective.nitf,plone.app.robotframework;,1192.0
1539,collective.nitf,plone.app.customerize;,1192.0
1540,collective.nitf,mock;,1192.0
1541,collective.nitf,collective.cover;,1192.0
1542,collective.nitf,zope.schema,1192.0
1543,collective.nitf,zope.interface,1192.0
1544,collective.nitf,zope.i18nmessageid,1192.0
1545,collective.nitf,zope.formlib,1192.0
1546,collective.nitf,zope.component,1192.0
1547,collective.nitf,zope.browserpage,1192.0
1548,collective.nitf,setuptools,1192.0
1549,collective.nitf,plone.uuid,1192.0
1550,collective.nitf,plone.supermodel,1192.0
1551,collective.nitf,plone.registry,1192.0
1552,collective.nitf,plone.portlets,1192.0
1553,collective.nitf,plone.indexer,1192.0
1554,collective.nitf,plone.formwidget.contenttree,1192.0
1555,collective.nitf,plone.formwidget.autocomplete,1192.0
1556,collective.nitf,plone.directives.form,1192.0
1557,collective.nitf,plone.dexterity,1192.0
1558,collective.nitf,plone.behavior,1192.0
1559,collective.nitf,plone.app.vocabularies,1192.0
1560,collective.nitf,plone.app.upgrade,1192.0
1561,collective.nitf,plone.app.textfield,1192.0
1562,collective.nitf,plone.app.relationfield,1192.0
1563,collective.nitf,plone.app.registry,1192.0
1564,collective.nitf,plone.app.referenceablebehavior,1192.0
1565,collective.nitf,plone.app.querystring,1192.0
1566,collective.nitf,plone.app.portlets,1192.0
1567,collective.nitf,plone.app.lockingbehavior,1192.0
1568,collective.nitf,plone.app.layout,1192.0
1569,collective.nitf,plone.app.imaging,1192.0
1570,collective.nitf,plone.app.dexterity[relations],1192.0
1571,collective.nitf,plone.app.contentmenu,1192.0
1572,collective.nitf,plone.api,1192.0
1573,collective.nitf,collective.prettydate,1192.0
1574,collective.nitf,collective.js.jqueryui,1192.0
1575,collective.nitf,collective.js.cycle2,1192.0
1576,collective.nitf,Products.GenericSetup,1192.0
1577,collective.nitf,Products.CMFQuickInstallerTool,1192.0
1578,collective.nitf,Products.CMFPlone,1192.0
1579,collective.nitf,Acquisition,1192.0
1580,collective.nitf,AccessControl,1192.0
1581,collective.nitf,zope.intid;,1192.0
1582,collective.nitf,z3c.relationfield;,1192.0
1583,collective.nitf,robotsuite;,1192.0
1584,collective.nitf,plone.testing;,1192.0
1585,collective.nitf,plone.namedfile;,1192.0
1586,collective.nitf,plone.browserlayer;,1192.0
1587,collective.nitf,plone.app.testing[robot],1192.0
1588,collective.nitf,plone.app.robotframework;,1192.0
1589,collective.nitf,plone.app.customerize;,1192.0
1590,collective.nitf,mock;,1192.0
1591,collective.nitf,collective.cover;,1192.0
1592,collective.nitf,zope.schema,1192.0
1593,collective.nitf,zope.interface,1192.0
1594,collective.nitf,zope.i18nmessageid,1192.0
1595,collective.nitf,zope.formlib,1192.0
1596,collective.nitf,zope.component,1192.0
1597,collective.nitf,zope.browserpage,1192.0
1598,collective.nitf,setuptools,1192.0
1599,collective.nitf,plone.uuid,1192.0
1600,collective.nitf,plone.supermodel,1192.0
1601,collective.nitf,plone.registry,1192.0
1602,collective.nitf,plone.portlets,1192.0
1603,collective.nitf,plone.indexer,1192.0
1604,collective.nitf,plone.formwidget.contenttree,1192.0
1605,collective.nitf,plone.formwidget.autocomplete,1192.0
1606,collective.nitf,plone.directives.form,1192.0
